 Nascidos vivos - Rio Grande do Sul
Nascim p/resid.mãe por Região de Saúde (CIR)
Local ocorrência: Hospital
Período:2022
"Região de Saúde (CIR)";"Nascim_p/resid.mãe"
"43001 Região 01 - Verdes Campos";4560
"43002 Região 02 - Entre Rios";1134
"43003 Região 03 - Fronteira Oeste";5069
"43004 Região 04 - Belas Praias";2217
"43005 Região 05 - Bons Ventos";2633
"43006 Região 06 - Vale do Paranhana e Costa Serra";2754
"43007 Região 07 - Vale dos Sinos";9059
"43008 Região 08 - Vale do Caí e Metropolitana";8770
"43009 Região 09 - Carbonífera/Costa Doce";3974
"43010 Região 10 - Capital e Vale do Gravataí";22381
"43011 Região 11 - Sete Povos das Missões";3079
"43012 Região 12 - Portal das Missões";1398
"43013 Região 13 - Diversidade";2539
"43014 Região 14 - Fronteira Noroeste";2526
"43015 Região 15 - Caminho das Águas";2375
"43016 Região 16 - Alto Uruguai Gaúcho";2548
"43017 Região 17 - Planalto";5110
"43018 Região 18 - Araucárias";1548
"43019 Região 19 - Botucaraí";1218
"43020 Região 20 - Rota da Produção";2031
"43021 Região 21 - Sul";8288
"43022 Região 22 - Pampa";2030
"43023 Região 23 - Caxias e Hortênsias";6721
"43024 Região 24 - Campos de Cima da Serra";1316
"43025 Região 25 - Vinhedos e Basalto";3474
"43026 Região 26 - Uva Vale";2094
"43027 Região 27 - Jacuí Centro";1947
"43028 Região 28 - Vinte e Oito";3571
"43029 Região 29 - Vales e Montanhas";2549
"43030 Região 30 - Vale da Luz";1444
"Total";120357
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Nascidos Vivos - SINASC
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2023. Data da atualização dos dados 12/2024.
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
