 Nascidos vivos - Rio Grande do Sul
Nascim p/resid.mãe por Região de Saúde (CIR)
Tipo de parto: Vaginal
Período:2021
"Região de Saúde (CIR)";"Nascim_p/resid.mãe"
"43001 Região 01 - Verdes Campos";1763
"43002 Região 02 - Entre Rios";320
"43003 Região 03 - Fronteira Oeste";1672
"43004 Região 04 - Belas Praias";716
"43005 Região 05 - Bons Ventos";1226
"43006 Região 06 - Vale do Paranhana e Costa Serra";825
"43007 Região 07 - Vale dos Sinos";3502
"43008 Região 08 - Vale do Caí e Metropolitana";3656
"43009 Região 09 - Carbonífera/Costa Doce";1751
"43010 Região 10 - Capital e Vale do Gravataí";12122
"43011 Região 11 - Sete Povos das Missões";710
"43012 Região 12 - Portal das Missões";235
"43013 Região 13 - Diversidade";513
"43014 Região 14 - Fronteira Noroeste";463
"43015 Região 15 - Caminho das Águas";605
"43016 Região 16 - Alto Uruguai Gaúcho";762
"43017 Região 17 - Planalto";1598
"43018 Região 18 - Araucárias";328
"43019 Região 19 - Botucaraí";431
"43020 Região 20 - Rota da Produção";525
"43021 Região 21 - Sul";3459
"43022 Região 22 - Pampa";505
"43023 Região 23 - Caxias e Hortênsias";1970
"43024 Região 24 - Campos de Cima da Serra";578
"43025 Região 25 - Vinhedos e Basalto";1243
"43026 Região 26 - Uva Vale";377
"43027 Região 27 - Jacuí Centro";631
"43028 Região 28 - Vinte e Oito";925
"43029 Região 29 - Vales e Montanhas";829
"43030 Região 30 - Vale da Luz";339
"Total";44579
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Nascidos Vivos - SINASC
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2023. Data da atualização dos dados 12/2024.
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
